"go","cluster","parent","parentSimScore","score","size","term","parentTerm"
"GO:0055091",9,"GO:0007599",0.359,2.25610851063795,15,"phospholipid homeostasis","hemostasis"
"GO:0032496",18,"GO:0002237",0.984,2.24316812191031,144,"response to lipopolysaccharide","response to molecule of bacterial origin"
"GO:0071333",3,"GO:1903034",0.154,2.24074252840991,66,"cellular response to glucose stimulus","regulation of response to wounding"
"GO:0090092",3,"GO:1903034",0.401,2.23348090036287,0,"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","regulation of response to wounding"
"GO:0022409",7,"GO:0031589",0.687,2.22866353147619,20,"positive regulation of cell-cell adhesion","cell-substrate adhesion"
"GO:0070997",20,"GO:0070997",0.997,2.22841999248141,7,"neuron death","neuron death"
"GO:0061001",2,"GO:0034329",0.713,2.22147313440484,23,"regulation of dendritic spine morphogenesis","cell junction assembly"
"GO:0099637",6,"GO:0098657",0.317,2.22147313440484,1,"neurotransmitter receptor transport","import into cell"
"GO:0072132",5,"GO:0061326",0.474,2.21742179811601,0,"mesenchyme morphogenesis","renal tubule development"
"GO:0048260",6,"GO:0098657",0.315,2.21742179811601,28,"positive regulation of receptor-mediated endocytosis","import into cell"
"GO:0007160",7,"GO:0031589",0.954,2.21251440189242,112,"cell-matrix adhesion","cell-substrate adhesion"
"GO:0045444",5,"GO:0061326",0.239,2.21105349355505,71,"fat cell differentiation","renal tubule development"
"GO:1903039",7,"GO:0031589",0.676,2.21105349355505,3,"positive regulation of leukocyte cell-cell adhesion","cell-substrate adhesion"
"GO:0036293",3,"GO:1903034",0.168,2.21091946776055,0,"response to decreased oxygen levels","regulation of response to wounding"
"GO:1901890",2,"GO:0034329",0.859,2.20935323583231,4,"positive regulation of cell junction assembly","cell junction assembly"
"GO:0006720",10,"GO:1901136",0.141,2.20934297379049,2,"isoprenoid metabolic process","carbohydrate derivative catabolic process"
"GO:0060219",5,"GO:0061326",0.262,2.20407363288777,6,"camera-type eye photoreceptor cell differentiation","renal tubule development"
"GO:0031214",13,"GO:0110149",0.952,2.19770595366786,27,"biomineral tissue development","regulation of biomineralization"
"GO:0110148",13,"GO:0110149",0.952,2.19770595366786,0,"biomineralization","regulation of biomineralization"
"GO:0032944",12,"GO:0050673",0.639,2.1858033648794,0,"regulation of mononuclear cell proliferation","epithelial cell proliferation"
"GO:0071772",3,"GO:1903034",0.163,2.1858033648794,0,"response to BMP","regulation of response to wounding"
"GO:0071773",3,"GO:1903034",0.163,2.1858033648794,35,"cellular response to BMP stimulus","regulation of response to wounding"
"GO:0048015",8,"GO:0051056",0.509,2.18208126673695,58,"phosphatidylinositol-mediated signaling","regulation of small GTPase mediated signal transduction"
"GO:0002062",5,"GO:0061326",0.491,2.18173375906614,39,"chondrocyte differentiation","renal tubule development"
"GO:0030282",13,"GO:0110149",0.924,2.18173375906614,48,"bone mineralization","regulation of biomineralization"
"GO:0070838",6,"GO:0098657",0.393,2.17941848692227,10,"divalent metal ion transport","import into cell"
"GO:0009749",3,"GO:1903034",0.159,2.17833169312325,69,"response to glucose","regulation of response to wounding"
"GO:0046887",9,"GO:0007599",0.426,2.16674704223347,7,"positive regulation of hormone secretion","hemostasis"
"GO:0030278",4,"GO:0044706",0.213,2.1617709308809,12,"regulation of ossification","multi-multicellular organism process"
"GO:0031646",4,"GO:0044706",0.193,2.1617709308809,0,"positive regulation of nervous system process","multi-multicellular organism process"
"GO:0006687",10,"GO:1901136",0.608,2.1617709308809,40,"glycosphingolipid metabolic process","carbohydrate derivative catabolic process"
"GO:0003073",4,"GO:0044706",0.203,2.1617709308809,12,"regulation of systemic arterial blood pressure","multi-multicellular organism process"
"GO:0030837",2,"GO:0034329",0.505,2.1617709308809,21,"negative regulation of actin filament polymerization","cell junction assembly"
"GO:0120193",2,"GO:0034329",0.747,2.16015421673178,1,"tight junction organization","cell junction assembly"
"GO:0120034",2,"GO:0034329",0.521,2.16015421673178,1,"positive regulation of plasma membrane bounded cell projection assembly","cell junction assembly"
"GO:0046661",14,"GO:0046660",0.871,2.16015421673178,5,"male sex differentiation","female sex differentiation"
"GO:0071248",3,"GO:1903034",0.162,2.14778120876319,3,"cellular response to metal ion","regulation of response to wounding"
"GO:0043114",4,"GO:0044706",0.189,2.14778120876319,12,"regulation of vascular permeability","multi-multicellular organism process"
"GO:0009306",6,"GO:0098657",0.374,2.14648846663453,57,"protein secretion","import into cell"
"GO:0003205",5,"GO:0061326",0.308,2.13767602365635,3,"cardiac chamber development","renal tubule development"
"GO:0050678",12,"GO:0050673",0.981,2.12198114782168,13,"regulation of epithelial cell proliferation","epithelial cell proliferation"
"GO:0007159",7,"GO:0031589",0.708,2.12198114782168,31,"leukocyte cell-cell adhesion","cell-substrate adhesion"
"GO:0035592",6,"GO:0098657",0.369,2.11733667091846,0,"establishment of protein localization to extracellular region","import into cell"
"GO:1904062",6,"GO:0098657",0.378,2.10842519414528,3,"regulation of cation transmembrane transport","import into cell"
"GO:2001056",10,"GO:1901136",0.138,2.10019280016277,10,"positive regulation of cysteine-type endopeptidase activity","carbohydrate derivative catabolic process"
"GO:0140239",6,"GO:0098657",0.295,2.09840920409301,0,"postsynaptic endocytosis","import into cell"
"GO:0098884",6,"GO:0098657",0.81,2.09840920409301,8,"postsynaptic neurotransmitter receptor internalization","import into cell"
"GO:1903037",7,"GO:0031589",0.701,2.09448050842324,3,"regulation of leukocyte cell-cell adhesion","cell-substrate adhesion"
"GO:0051235",9,"GO:0007599",0.468,2.09151455346366,0,"maintenance of location","hemostasis"
"GO:0046365",10,"GO:1901136",0.506,2.0832036024351,0,"monosaccharide catabolic process","carbohydrate derivative catabolic process"
"GO:0150116",2,"GO:0034329",0.733,2.0832036024351,0,"regulation of cell-substrate junction organization","cell junction assembly"
"GO:0050670",12,"GO:0050673",0.638,2.08015848151353,0,"regulation of lymphocyte proliferation","epithelial cell proliferation"
"GO:0046466",10,"GO:1901136",0.499,2.07370695656759,4,"membrane lipid catabolic process","carbohydrate derivative catabolic process"
"GO:0071692",6,"GO:0098657",0.31,2.07277691949392,0,"protein localization to extracellular region","import into cell"
"GO:0055081",9,"GO:0007599",0.401,2.07244853013567,2,"anion homeostasis","hemostasis"
"GO:0003174",5,"GO:0061326",0.245,2.07244853013567,1,"mitral valve development","renal tubule development"
"GO:0090557",5,"GO:0061326",0.508,2.07244853013567,16,"establishment of endothelial intestinal barrier","renal tubule development"
"GO:2000027",5,"GO:0061326",0.312,2.07244853013567,1,"regulation of animal organ morphogenesis","renal tubule development"
"GO:0050731",10,"GO:1901136",0.14,2.06624008864741,92,"positive regulation of peptidyl-tyrosine phosphorylation","carbohydrate derivative catabolic process"
"GO:0006721",10,"GO:1901136",0.139,2.05620823031514,0,"terpenoid metabolic process","carbohydrate derivative catabolic process"
"GO:0072503",9,"GO:0007599",0.491,2.05266063494952,0,"cellular divalent inorganic cation homeostasis","hemostasis"
"GO:0051489",2,"GO:0034329",0.489,2.05266063494952,17,"regulation of filopodium assembly","cell junction assembly"
"GO:0050873",5,"GO:0061326",0.214,2.05175151280933,31,"brown fat cell differentiation","renal tubule development"
"GO:0051547",4,"GO:0044706",0.173,2.05146198943401,0,"regulation of keratinocyte migration","multi-multicellular organism process"
"GO:0031623",10,"GO:1901136",0.135,2.05146198943401,47,"receptor internalization","carbohydrate derivative catabolic process"
"GO:0048545",3,"GO:1903034",0.168,2.05146198943401,15,"response to steroid hormone","regulation of response to wounding"
"GO:0099587",6,"GO:0098657",0.917,2.05023699004856,0,"inorganic ion import across plasma membrane","import into cell"
"GO:0120162",16,"GO:1990845",0.961,2.05023699004856,97,"positive regulation of cold-induced thermogenesis","adaptive thermogenesis"
"GO:0098659",6,"GO:0098657",0.916,2.05023699004856,2,"inorganic cation import across plasma membrane","import into cell"
"GO:0070663",12,"GO:0050673",0.643,2.0460700105203,1,"regulation of leukocyte proliferation","epithelial cell proliferation"
"GO:1904018",5,"GO:0061326",0.309,2.0460700105203,1,"positive regulation of vasculature development","renal tubule development"
"GO:0032147",11,"GO:0043087",0.637,2.0460700105203,69,"activation of protein kinase activity","regulation of GTPase activity"
"GO:0050803",9,"GO:0007599",0.454,2.0460700105203,11,"regulation of synapse structure or activity","hemostasis"
"GO:0006869",6,"GO:0098657",0.386,2.04590716631519,62,"lipid transport","import into cell"
"GO:0050886",4,"GO:0044706",0.202,2.0358032324087,0,"endocrine process","multi-multicellular organism process"
"GO:0007498",5,"GO:0061326",0.5,2.02770969625194,30,"mesoderm development","renal tubule development"
"GO:0042303",4,"GO:0044706",0.201,2.02608897855162,0,"molting cycle","multi-multicellular organism process"
"GO:1904894",3,"GO:1903034",0.366,2.02608897855162,5,"positive regulation of receptor signaling pathway via STAT","regulation of response to wounding"
"GO:0042633",4,"GO:0044706",0.201,2.02608897855162,15,"hair cycle","multi-multicellular organism process"
"GO:0060840",5,"GO:0061326",0.289,2.02356454056815,8,"artery development","renal tubule development"
"GO:0030098",17,"GO:0042110",0.856,2.01935833309787,7,"lymphocyte differentiation","T cell activation"
"GO:0043010",5,"GO:0061326",0.316,2.01710046661451,42,"camera-type eye development","renal tubule development"
"GO:0048593",5,"GO:0061326",0.294,2.01644306927782,18,"camera-type eye morphogenesis","renal tubule development"
"GO:0008217",4,"GO:0044706",0.213,2.00463810509377,69,"regulation of blood pressure","multi-multicellular organism process"
"GO:0042462",5,"GO:0061326",0.267,2.00392625490527,18,"eye photoreceptor cell development","renal tubule development"
"GO:0032735",4,"GO:0044706",0.184,2.00392625490527,36,"positive regulation of interleukin-12 production","multi-multicellular organism process"
"GO:0032228",8,"GO:0051056",0.39,2.00392625490527,15,"regulation of synaptic transmission, GABAergic","regulation of small GTPase mediated signal transduction"
"GO:0050890",4,"GO:0044706",0.221,1.99628588815472,52,"cognition","multi-multicellular organism process"
"GO:0055069",9,"GO:0007599",0.393,1.98275642196644,5,"zinc ion homeostasis","hemostasis"
"GO:0098661",6,"GO:0098657",0.339,1.98275642196644,0,"inorganic anion transmembrane transport","import into cell"
"GO:0030218",9,"GO:0007599",0.426,1.98275642196644,56,"erythrocyte differentiation","hemostasis"
"GO:0001666",3,"GO:1903034",0.413,1.98136268975483,175,"response to hypoxia","regulation of response to wounding"
"GO:0002262",9,"GO:0007599",0.435,1.97654280914534,9,"myeloid cell homeostasis","hemostasis"
"GO:0003407",5,"GO:0061326",0.281,1.96717852572507,14,"neural retina development","renal tubule development"
"GO:0045778",4,"GO:0044706",0.201,1.96477657930808,13,"positive regulation of ossification","multi-multicellular organism process"
"GO:0070482",3,"GO:1903034",0.169,1.96355665932601,0,"response to oxygen levels","regulation of response to wounding"
"GO:0042402",10,"GO:1901136",0.479,1.95125331703489,0,"cellular biogenic amine catabolic process","carbohydrate derivative catabolic process"
"GO:0043254",2,"GO:0034329",0.592,1.9480071622876,19,"regulation of protein-containing complex assembly","cell junction assembly"
"GO:0003231",5,"GO:0061326",0.296,1.94649191134359,6,"cardiac ventricle development","renal tubule development"
"GO:0010812",7,"GO:0031589",0.858,1.94649191134359,18,"negative regulation of cell-substrate adhesion","cell-substrate adhesion"
"GO:0007568",5,"GO:0061326",0.245,1.94371472819578,166,"aging","renal tubule development"
"GO:0070665",12,"GO:0050673",0.615,1.94114845936481,2,"positive regulation of leukocyte proliferation","epithelial cell proliferation"
"GO:0006024",10,"GO:1901136",0.626,1.94112776108759,44,"glycosaminoglycan biosynthetic process","carbohydrate derivative catabolic process"
"GO:0046427",3,"GO:1903034",0.365,1.93791207001824,35,"positive regulation of receptor signaling pathway via JAK-STAT","regulation of response to wounding"
"GO:0006644",10,"GO:1901136",0.157,1.9322226417603,65,"phospholipid metabolic process","carbohydrate derivative catabolic process"
"GO:0007416",2,"GO:0034329",0.934,1.9319261251854,70,"synapse assembly","cell junction assembly"
"GO:0052548",10,"GO:1901136",0.149,1.9319261251854,8,"regulation of endopeptidase activity","carbohydrate derivative catabolic process"
"GO:0021782",5,"GO:0061326",0.291,1.9319261251854,4,"glial cell development","renal tubule development"
"GO:0051968",8,"GO:0051056",0.389,1.9173415296954,30,"positive regulation of synaptic transmission, glutamatergic","regulation of small GTPase mediated signal transduction"
"GO:1903708",5,"GO:0061326",0.305,1.91563356321059,0,"positive regulation of hemopoiesis","renal tubule development"
"GO:0014066",8,"GO:0051056",0.575,1.91563356321059,24,"regulation of phosphatidylinositol 3-kinase signaling","regulation of small GTPase mediated signal transduction"
"GO:0044784",15,"GO:0007051",0.559,1.91563356321059,0,"metaphase/anaphase transition of cell cycle","spindle organization"
"GO:0035904",5,"GO:0061326",0.274,1.91563356321059,22,"aorta development","renal tubule development"
"GO:0097305",3,"GO:1903034",0.161,1.9097718709593,1,"response to alcohol","regulation of response to wounding"
"GO:0043583",5,"GO:0061326",0.308,1.9097718709593,10,"ear development","renal tubule development"
"GO:0048762",5,"GO:0061326",0.526,1.9097718709593,7,"mesenchymal cell differentiation","renal tubule development"
"GO:0048511",19,"GO:0042698",0.86,1.9075964405939,66,"rhythmic process","ovulation cycle"
"GO:1903779",4,"GO:0044706",0.195,1.9075964405939,55,"regulation of cardiac conduction","multi-multicellular organism process"
"GO:0006805",3,"GO:1903034",0.155,1.9075964405939,109,"xenobiotic metabolic process","regulation of response to wounding"
"GO:0051966",8,"GO:0051056",0.412,1.9075964405939,32,"regulation of synaptic transmission, glutamatergic","regulation of small GTPase mediated signal transduction"
"GO:0034755",6,"GO:0098657",0.291,1.9075964405939,9,"iron ion transmembrane transport","import into cell"
"GO:0019320",10,"GO:1901136",0.5,1.9075964405939,0,"hexose catabolic process","carbohydrate derivative catabolic process"
"GO:0090036",8,"GO:0051056",0.497,1.9075964405939,4,"regulation of protein kinase C signaling","regulation of small GTPase mediated signal transduction"
"GO:0010976",5,"GO:0061326",0.31,1.90024535832458,121,"positive regulation of neuron projection development","renal tubule development"
"GO:0030835",2,"GO:0034329",0.299,1.8980504567942,3,"negative regulation of actin filament depolymerization","cell junction assembly"
"GO:0042552",5,"GO:0061326",0.295,1.8980504567942,51,"myelination","renal tubule development"
"GO:0044060",4,"GO:0044706",0.191,1.8980504567942,0,"regulation of endocrine process","multi-multicellular organism process"
"GO:0030193",9,"GO:0007599",0.886,1.8980504567942,9,"regulation of blood coagulation","hemostasis"
"GO:0070169",13,"GO:0110149",0.951,1.8980504567942,6,"positive regulation of biomineral tissue development","regulation of biomineralization"
"GO:0097306",3,"GO:1903034",0.15,1.8980504567942,0,"cellular response to alcohol","regulation of response to wounding"
"GO:0060324",5,"GO:0061326",0.23,1.8980504567942,17,"face development","renal tubule development"
"GO:0008207",9,"GO:0007599",0.395,1.8980504567942,8,"C21-steroid hormone metabolic process","hemostasis"
"GO:0110151",13,"GO:0110149",0.951,1.8980504567942,0,"positive regulation of biomineralization","regulation of biomineralization"
"GO:0045682",5,"GO:0061326",0.481,1.8980504567942,4,"regulation of epidermis development","renal tubule development"
"GO:0032946",12,"GO:0050673",0.611,1.8980504567942,3,"positive regulation of mononuclear cell proliferation","epithelial cell proliferation"
"GO:0006672",10,"GO:1901136",0.136,1.8980504567942,27,"ceramide metabolic process","carbohydrate derivative catabolic process"
"GO:0051496",1,"GO:0007015",0.808,1.8980504567942,61,"positive regulation of stress fiber assembly","actin filament organization"
"GO:0010862",3,"GO:1903034",0.348,1.8980504567942,68,"positive regulation of pathway-restricted SMAD protein phosphorylation","regulation of response to wounding"
"GO:0071466",3,"GO:1903034",0.155,1.8980504567942,5,"cellular response to xenobiotic stimulus","regulation of response to wounding"
"GO:0030501",13,"GO:0110149",0.934,1.8980504567942,40,"positive regulation of bone mineralization","regulation of biomineralization"
"GO:0019216",10,"GO:1901136",0.151,1.89250367637143,95,"regulation of lipid metabolic process","carbohydrate derivative catabolic process"
"GO:0008202",10,"GO:1901136",0.153,1.88468742942958,49,"steroid metabolic process","carbohydrate derivative catabolic process"
"GO:0050863",17,"GO:0042110",0.952,1.88468742942958,11,"regulation of T cell activation","T cell activation"
"GO:0051592",3,"GO:1903034",0.156,1.88150092924585,56,"response to calcium ion","regulation of response to wounding"
"GO:0032274",4,"GO:0044706",0.18,1.88135749722004,2,"gonadotropin secretion","multi-multicellular organism process"
"GO:1902414",6,"GO:0098657",0.275,1.87533473258248,8,"protein localization to cell junction","import into cell"
"GO:0031532",1,"GO:0007015",0.755,1.87533473258248,63,"actin cytoskeleton reorganization","actin filament organization"
"GO:0010639",2,"GO:0034329",0.36,1.87241840776722,0,"negative regulation of organelle organization","cell junction assembly"
"GO:0060856",5,"GO:0061326",0.246,1.87142549213518,2,"establishment of blood-brain barrier","renal tubule development"
"GO:0070243",20,"GO:0070997",0.446,1.87142549213518,0,"regulation of thymocyte apoptotic process","neuron death"
"GO:0099149",6,"GO:0098657",0.789,1.87142549213518,16,"regulation of postsynaptic neurotransmitter receptor internalization","import into cell"
"GO:0035249",8,"GO:0051056",0.264,1.87142549213518,29,"synaptic transmission, glutamatergic","regulation of small GTPase mediated signal transduction"
"GO:0098885",2,"GO:0034329",0.644,1.87142549213518,6,"modification of postsynaptic actin cytoskeleton","cell junction assembly"
"GO:1903829",6,"GO:0098657",0.302,1.8647211108297,7,"positive regulation of cellular protein localization","import into cell"
"GO:0010965",15,"GO:0007051",0.559,1.86158178965658,1,"regulation of mitotic sister chromatid separation","spindle organization"
"GO:0046847",2,"GO:0034329",0.501,1.86158178965658,22,"filopodium assembly","cell junction assembly"
"GO:0045862",10,"GO:1901136",0.148,1.84230758653842,20,"positive regulation of proteolysis","carbohydrate derivative catabolic process"
"GO:0061178",3,"GO:1903034",0.346,1.84230758653842,17,"regulation of insulin secretion involved in cellular response to glucose stimulus","regulation of response to wounding"
"GO:1900046",9,"GO:0007599",0.887,1.84230758653842,0,"regulation of hemostasis","hemostasis"
"GO:0048708",5,"GO:0061326",0.281,1.84230758653842,8,"astrocyte differentiation","renal tubule development"
"GO:0003333",6,"GO:0098657",0.346,1.8414514251843,37,"amino acid transmembrane transport","import into cell"
"GO:0051261",2,"GO:0034329",0.326,1.83672571263001,1,"protein depolymerization","cell junction assembly"
"GO:0001678",9,"GO:0007599",0.428,1.83464748104212,23,"cellular glucose homeostasis","hemostasis"
"GO:0001573",10,"GO:1901136",0.551,1.83464748104212,2,"ganglioside metabolic process","carbohydrate derivative catabolic process"
"GO:0042454",10,"GO:1901136",0.832,1.83464748104212,0,"ribonucleoside catabolic process","carbohydrate derivative catabolic process"
"GO:0040018",21,"GO:0040018",1,1.83464748104212,35,"positive regulation of multicellular organism growth","positive regulation of multicellular organism growth"
"GO:0051383",2,"GO:0034329",0.285,1.83464748104212,6,"kinetochore organization","cell junction assembly"
"GO:0046058",22,"GO:0046058",1,1.83464748104212,3,"cAMP metabolic process","cAMP metabolic process"
"GO:0040020",14,"GO:0046660",0.517,1.83464748104212,5,"regulation of meiotic nuclear division","female sex differentiation"
"GO:0046718",18,"GO:0002237",0.534,1.83064397106632,90,"viral entry into host cell","response to molecule of bacterial origin"
"GO:0008366",5,"GO:0061326",0.296,1.82213667244911,6,"axon ensheathment","renal tubule development"
"GO:0006882",9,"GO:0007599",0.39,1.82213667244911,37,"cellular zinc ion homeostasis","hemostasis"
"GO:1902476",6,"GO:0098657",0.33,1.82213667244911,115,"chloride transmembrane transport","import into cell"
"GO:0007272",5,"GO:0061326",0.296,1.82213667244911,0,"ensheathment of neurons","renal tubule development"
"GO:0120192",2,"GO:0034329",0.848,1.82213667244911,3,"tight junction assembly","cell junction assembly"
"GO:0010171",5,"GO:0061326",0.232,1.82213667244911,1,"body morphogenesis","renal tubule development"
"GO:0007492",5,"GO:0061326",0.477,1.82213667244911,20,"endoderm development","renal tubule development"
"GO:0043491",8,"GO:0051056",0.521,1.81953256482407,40,"protein kinase B signaling","regulation of small GTPase mediated signal transduction"
"GO:0050818",4,"GO:0044706",0.202,1.81953256482407,0,"regulation of coagulation","multi-multicellular organism process"
"GO:0071548",3,"GO:1903034",0.141,1.8190540716157,10,"response to dexamethasone","regulation of response to wounding"
"GO:1905818",15,"GO:0007051",0.563,1.81721792719234,3,"regulation of chromosome separation","spindle organization"
"GO:0001952",7,"GO:0031589",0.9,1.8150915249806,12,"regulation of cell-matrix adhesion","cell-substrate adhesion"
"GO:0035270",5,"GO:0061326",0.295,1.8150915249806,0,"endocrine system development","renal tubule development"
"GO:0045765",5,"GO:0061326",0.664,1.81338225355604,34,"regulation of angiogenesis","renal tubule development"
"GO:0051783",2,"GO:0034329",0.336,1.80305750171327,0,"regulation of nuclear division","cell junction assembly"
"GO:0009410",3,"GO:1903034",0.156,1.80024881664874,8,"response to xenobiotic stimulus","regulation of response to wounding"
"GO:0032233",1,"GO:0007015",0.82,1.79764990534279,14,"positive regulation of actin filament bundle assembly","actin filament organization"
"GO:0060997",2,"GO:0034329",0.732,1.79764990534279,22,"dendritic spine morphogenesis","cell junction assembly"
"GO:0070527",7,"GO:0031589",0.596,1.79764990534279,51,"platelet aggregation","cell-substrate adhesion"
"GO:1902905",2,"GO:0034329",0.34,1.79764990534279,1,"positive regulation of supramolecular fiber organization","cell junction assembly"
"GO:1902107",5,"GO:0061326",0.299,1.79076473442975,0,"positive regulation of leukocyte differentiation","renal tubule development"
"GO:0060390",3,"GO:1903034",0.328,1.78452245465825,6,"regulation of SMAD protein signal transduction","regulation of response to wounding"
"GO:0099175",2,"GO:0034329",0.76,1.77903754241203,26,"regulation of postsynapse organization","cell junction assembly"
"GO:1902099",15,"GO:0007051",0.556,1.7785027455026,0,"regulation of metaphase/anaphase transition of cell cycle","spindle organization"
"GO:0045851",9,"GO:0007599",0.4,1.7785027455026,4,"pH reduction","hemostasis"
"GO:0030042",2,"GO:0034329",0.31,1.7785027455026,18,"actin filament depolymerization","cell junction assembly"
"GO:0007091",15,"GO:0007051",0.557,1.7785027455026,7,"metaphase/anaphase transition of mitotic cell cycle","spindle organization"
"GO:1901214",20,"GO:0070997",0.985,1.76637487257692,23,"regulation of neuron death","neuron death"
"GO:0022405",4,"GO:0044706",0.198,1.7629946042714,4,"hair cycle process","multi-multicellular organism process"
"GO:0050807",9,"GO:0007599",0.452,1.7629946042714,25,"regulation of synapse organization","hemostasis"
"GO:0022404",4,"GO:0044706",0.198,1.7629946042714,0,"molting cycle process","multi-multicellular organism process"
"GO:0050870",7,"GO:0031589",0.671,1.76242394438286,22,"positive regulation of T cell activation","cell-substrate adhesion"
"GO:0010043",3,"GO:1903034",0.146,1.76134129454289,32,"response to zinc ion","regulation of response to wounding"
"GO:0030509",3,"GO:1903034",0.162,1.75557905706358,135,"BMP signaling pathway","regulation of response to wounding"
"GO:0071711",2,"GO:0034329",0.289,1.75413927781947,13,"basement membrane organization","cell junction assembly"
"GO:0051491",2,"GO:0034329",0.472,1.75413927781947,34,"positive regulation of filopodium assembly","cell junction assembly"
"GO:0035335",10,"GO:1901136",0.133,1.74924879814579,113,"peptidyl-tyrosine dephosphorylation","carbohydrate derivative catabolic process"
"GO:0048709",5,"GO:0061326",0.289,1.74924879814579,29,"oligodendrocyte differentiation","renal tubule development"
"GO:0045646",9,"GO:0007599",0.395,1.74875184914698,6,"regulation of erythrocyte differentiation","hemostasis"
"GO:0045446",5,"GO:0061326",0.59,1.74875184914698,11,"endothelial cell differentiation","renal tubule development"
"GO:0007611",4,"GO:0044706",0.218,1.74843495843143,65,"learning or memory","multi-multicellular organism process"
"GO:0050671",12,"GO:0050673",0.611,1.74827374412621,6,"positive regulation of lymphocyte proliferation","epithelial cell proliferation"
"GO:0070232",20,"GO:0070997",0.482,1.73755669375522,3,"regulation of T cell apoptotic process","neuron death"
"GO:0010721",5,"GO:0061326",0.269,1.73755669375522,2,"negative regulation of cell development","renal tubule development"
"GO:0043297",2,"GO:0034329",0.851,1.73560248877934,7,"apical junction assembly","cell junction assembly"
"GO:0001523",10,"GO:1901136",0.137,1.73146139404907,70,"retinoid metabolic process","carbohydrate derivative catabolic process"
"GO:0007223",8,"GO:0051056",0.266,1.7313626120896,39,"Wnt signaling pathway, calcium modulating pathway","regulation of small GTPase mediated signal transduction"
"GO:0051893",2,"GO:0034329",0.83,1.73085550497794,27,"regulation of focal adhesion assembly","cell junction assembly"
"GO:0090109",2,"GO:0034329",0.83,1.73085550497794,0,"regulation of cell-substrate junction assembly","cell junction assembly"
"GO:0001667",6,"GO:0098657",0.315,1.73085550497794,7,"ameboidal-type cell migration","import into cell"
"GO:0008654",10,"GO:1901136",0.147,1.72543361630035,24,"phospholipid biosynthetic process","carbohydrate derivative catabolic process"
"GO:0097091",6,"GO:0098657",0.288,1.72427566695923,8,"synaptic vesicle clustering","import into cell"
"GO:0007567",4,"GO:0044706",0.824,1.72427566695923,9,"parturition","multi-multicellular organism process"
"GO:0001780",9,"GO:0007599",0.366,1.72427566695923,5,"neutrophil homeostasis","hemostasis"
"GO:0072170",5,"GO:0061326",0.716,1.71149423852003,0,"metanephric tubule development","renal tubule development"
"GO:0098773",5,"GO:0061326",0.575,1.71149423852003,2,"skin epidermis development","renal tubule development"
"GO:0009310",10,"GO:1901136",0.481,1.71149423852003,0,"amine catabolic process","carbohydrate derivative catabolic process"
"GO:0071577",6,"GO:0098657",0.304,1.71149423852003,23,"zinc ion transmembrane transport","import into cell"
"GO:0030856",5,"GO:0061326",0.603,1.70471498887219,7,"regulation of epithelial cell differentiation","renal tubule development"
"GO:0071241",3,"GO:1903034",0.164,1.69654015962076,2,"cellular response to inorganic substance","regulation of response to wounding"
"GO:0030879",5,"GO:0061326",0.298,1.69458941289306,22,"mammary gland development","renal tubule development"
"GO:0031099",5,"GO:0061326",0.257,1.69458941289306,0,"regeneration","renal tubule development"
"GO:1903522",4,"GO:0044706",0.228,1.69392490500584,0,"regulation of blood circulation","multi-multicellular organism process"
"GO:0099072",9,"GO:0007599",0.404,1.68519461831494,12,"regulation of postsynaptic membrane neurotransmitter receptor levels","hemostasis"
"GO:0003012",4,"GO:0044706",0.235,1.68424063705988,2,"muscle system process","multi-multicellular organism process"
"GO:0042635",4,"GO:0044706",0.172,1.68424063705988,1,"positive regulation of hair cycle","multi-multicellular organism process"
"GO:1900025",7,"GO:0031589",0.757,1.68424063705988,13,"negative regulation of substrate adhesion-dependent cell spreading","cell-substrate adhesion"
"GO:0006703",9,"GO:0007599",0.362,1.68424063705988,17,"estrogen biosynthetic process","hemostasis"
"GO:0090630",11,"GO:0043087",0.874,1.68424063705988,120,"activation of GTPase activity","regulation of GTPase activity"
"GO:0060221",5,"GO:0061326",0.248,1.68424063705988,3,"retinal rod cell differentiation","renal tubule development"
"GO:0070830",2,"GO:0034329",0.845,1.68174337999439,64,"bicellular tight junction assembly","cell junction assembly"
"GO:0060411",5,"GO:0061326",0.286,1.68174337999439,13,"cardiac septum morphogenesis","renal tubule development"
"GO:0006919",10,"GO:1901136",0.131,1.68174337999439,97,"activation of cysteine-type endopeptidase activity involved in apoptotic process","carbohydrate derivative catabolic process"
"GO:0099590",6,"GO:0098657",0.825,1.67813629861437,7,"neurotransmitter receptor internalization","import into cell"
"GO:1900120",11,"GO:0043087",0.464,1.67813629861437,1,"regulation of receptor binding","regulation of GTPase activity"
"GO:0072523",10,"GO:1901136",0.506,1.67813629861437,0,"purine-containing compound catabolic process","carbohydrate derivative catabolic process"
"GO:0034698",3,"GO:1903034",0.139,1.67813629861437,3,"response to gonadotropin","regulation of response to wounding"
"GO:1903431",5,"GO:0061326",0.208,1.67813629861437,1,"positive regulation of cell maturation","renal tubule development"
"GO:0003183",5,"GO:0061326",0.244,1.67813629861437,7,"mitral valve morphogenesis","renal tubule development"
"GO:0034765",6,"GO:0098657",0.388,1.67813629861437,114,"regulation of ion transmembrane transport","import into cell"
"GO:0051306",15,"GO:0007051",0.562,1.66630021331328,5,"mitotic sister chromatid separation","spindle organization"
